[2024-10-18T16:03:57.336+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-18T15:58:45.154710+00:00 [queued]>
[2024-10-18T16:03:57.345+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-18T15:58:45.154710+00:00 [queued]>
[2024-10-18T16:03:57.345+0000] {taskinstance.py:1359} INFO - Starting attempt 2 of 4
[2024-10-18T16:03:59.212+0000] {logging_mixin.py:151} INFO - Processed 1480050 Already! Sorry Try another
[2024-10-18T16:03:59.212+0000] {logging_mixin.py:151} INFO - Processed 1513420 Already! Sorry Try another
[2024-10-18T16:03:59.213+0000] {logging_mixin.py:151} INFO - Processed 1682600 Already! Sorry Try another
[2024-10-18T16:03:59.213+0000] {logging_mixin.py:151} INFO - Processed 1832840 Already! Sorry Try another
[2024-10-18T16:03:59.213+0000] {logging_mixin.py:151} INFO - Processed 1840800 Already! Sorry Try another
[2024-10-18T16:03:59.214+0000] {logging_mixin.py:151} INFO - Processed 3012290 Already! Sorry Try another
[2024-10-18T16:03:59.214+0000] {logging_mixin.py:151} INFO - Processed 3080030 Already! Sorry Try another
[2024-10-18T16:03:59.215+0000] {logging_mixin.py:151} INFO - Processed 3226270 Already! Sorry Try another
[2024-10-18T16:03:59.215+0000] {logging_mixin.py:151} INFO - Processed 2191410 Already! Sorry Try another
[2024-10-18T16:03:59.215+0000] {logging_mixin.py:151} INFO - Processed 1653190 Already! Sorry Try another
[2024-10-18T16:03:59.216+0000] {logging_mixin.py:151} INFO - Processed 3280460 Already! Sorry Try another
[2024-10-18T16:03:59.216+0000] {logging_mixin.py:151} INFO - Processed 1211980 Already! Sorry Try another
[2024-10-18T16:03:59.217+0000] {logging_mixin.py:151} INFO - Fetching details for app ID: 1424230...
[2024-10-18T16:03:59.545+0000] {logging_mixin.py:151} INFO - Failed to get details for app ID: 1424230
[2024-10-18T16:03:59.548+0000] {logging_mixin.py:151} INFO - Processed 1584090 Already! Sorry Try another
[2024-10-18T16:03:59.549+0000] {logging_mixin.py:151} INFO - Processed 1607250 Already! Sorry Try another
[2024-10-18T16:03:59.549+0000] {logging_mixin.py:151} INFO - Processed 1786790 Already! Sorry Try another
[2024-10-18T16:03:59.550+0000] {logging_mixin.py:151} INFO - Processed 1830190 Already! Sorry Try another
[2024-10-18T16:03:59.551+0000] {logging_mixin.py:151} INFO - Processed 1905180 Already! Sorry Try another
[2024-10-18T16:03:59.551+0000] {logging_mixin.py:151} INFO - Processed 1911610 Already! Sorry Try another
[2024-10-18T16:03:59.552+0000] {logging_mixin.py:151} INFO - Processed 2015620 Already! Sorry Try another
[2024-10-18T16:03:59.552+0000] {logging_mixin.py:151} INFO - Processed 2064650 Already! Sorry Try another
[2024-10-18T16:03:59.553+0000] {logging_mixin.py:151} INFO - Processed 2075100 Already! Sorry Try another
[2024-10-18T16:03:59.553+0000] {logging_mixin.py:151} INFO - Processed 2114740 Already! Sorry Try another
[2024-10-18T16:03:59.554+0000] {logging_mixin.py:151} INFO - Processed 2236060 Already! Sorry Try another
[2024-10-18T16:03:59.555+0000] {logging_mixin.py:151} INFO - Processed 2316930 Already! Sorry Try another
[2024-10-18T16:03:59.555+0000] {logging_mixin.py:151} INFO - Processed 2341070 Already! Sorry Try another
[2024-10-18T16:03:59.556+0000] {logging_mixin.py:151} INFO - Processed 2359660 Already! Sorry Try another
[2024-10-18T16:03:59.556+0000] {logging_mixin.py:151} INFO - Processed 2401970 Already! Sorry Try another
[2024-10-18T16:03:59.557+0000] {logging_mixin.py:151} INFO - Processed 2566880 Already! Sorry Try another
[2024-10-18T16:03:59.557+0000] {logging_mixin.py:151} INFO - Processed 2645820 Already! Sorry Try another
[2024-10-18T16:03:59.558+0000] {logging_mixin.py:151} INFO - Fetching details for app ID: 2658770...
[2024-10-18T16:03:59.881+0000] {logging_mixin.py:151} INFO - Failed to get details for app ID: 2658770
[2024-10-18T16:03:59.883+0000] {logging_mixin.py:151} INFO - Processed 2751000 Already! Sorry Try another
[2024-10-18T16:03:59.883+0000] {logging_mixin.py:151} INFO - Processed 2807150 Already! Sorry Try another
[2024-10-18T16:03:59.884+0000] {logging_mixin.py:151} INFO - Processed 2990190 Already! Sorry Try another
[2024-10-18T16:03:59.884+0000] {logging_mixin.py:151} INFO - Processed 3051280 Already! Sorry Try another
[2024-10-18T16:03:59.885+0000] {logging_mixin.py:151} INFO - Processed 3080680 Already! Sorry Try another
[2024-10-18T16:03:59.885+0000] {logging_mixin.py:151} INFO - Processed 3084620 Already! Sorry Try another
[2024-10-18T16:03:59.886+0000] {logging_mixin.py:151} INFO - Processed 3156770 Already! Sorry Try another
[2024-10-18T16:03:59.887+0000] {logging_mixin.py:151} INFO - Processed 3192310 Already! Sorry Try another
[2024-10-18T16:03:59.887+0000] {logging_mixin.py:151} INFO - Processed 3217200 Already! Sorry Try another
[2024-10-18T16:03:59.888+0000] {logging_mixin.py:151} INFO - Processed 3227820 Already! Sorry Try another
[2024-10-18T16:03:59.888+0000] {logging_mixin.py:151} INFO - Processed 3231380 Already! Sorry Try another
[2024-10-18T16:03:59.889+0000] {logging_mixin.py:151} INFO - Processed 3283090 Already! Sorry Try another
[2024-10-18T16:03:59.889+0000] {logging_mixin.py:151} INFO - Processed 3292980 Already! Sorry Try another
